Index,Li Content,Href Value,Prices
1,"8534 Founders Way, Florence, KY 41042	SIBCY CLINE, REALTORS-FLORENCE	$479,900	4	 	bds	3	 	ba	2,880	 	sqft	 	- House for sale	Show more	Price cut:	 	$5,000 (Sep 21)	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 47	Save this home",https://www.zillow.com/homedetails/8534-Founders-Way-Florence-KY-41042/105694689_zpid/,"$479,900"
2,"9088 Timberbrook Ln UNIT B, Florence, KY 41042	COLDWELL BANKER REALTY FM	$318,900	2	 	bds	2	 	ba	1,661	 	sqft	 	- Condo for sale	Show more	26 days on Zillow	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 31	Save this home",https://www.zillow.com/homedetails/9088-Timberbrook-Ln-UNIT-B-Florence-KY-41042/122649628_zpid/,"$318,900"
3,"8627 Ellingsworth Way, Florence, KY 41042	COLDWELL BANKER REALTY FM	$229,900	2	 	bds	2	 	ba	1,750	 	sqft	 	- Condo for sale	Show more	26 days on Zillow	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 9	Save this home",https://www.zillow.com/homedetails/8627-Ellingsworth-Way-Florence-KY-41042/122652098_zpid/,"$229,900"
4,"7772 Pleasant Valley Rd, Florence, KY 41042	BERKSHIRE HATHAWAY HOME SERVICES PROFESSIONAL REALTY	$464,900	3	 	bds	3	 	ba	2,250	 	sqft	 	- House for sale	Show more	Three Dimensional	 3D Tour	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 50	Save this home",https://www.zillow.com/homedetails/7772-Pleasant-Valley-Rd-Florence-KY-41042/113712671_zpid/,"$464,900"
5,"1519 Greenery Dr, Florence, KY 41042	SIBCY CLINE, REALTORS-FLORENCE	$364,900	3	 	bds	3	 	ba	1,422	 	sqft	 	- House for sale	Show more	Price cut:	 	$4,000 (Nov 7)	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 50	Save this home",https://www.zillow.com/homedetails/1519-Greenery-Dr-Florence-KY-41042/122653955_zpid/,"$364,900"
6,"8430 Village Dr, Florence, KY 41042	SIMPLE FEE REALTY	$270,000	3	 	bds	2	 	ba	1,717	 	sqft	 	- House for sale	Show more	Price cut:	 	$10,000 (Nov 14)	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 31	Save this home",https://www.zillow.com/homedetails/8430-Village-Dr-Florence-KY-41042/105699760_zpid/,"$270,000"
7,"7811 Stockton Way, Florence, KY 41042	SIMPLE FEE REALTY	$349,900	4	 	bds	3	 	ba	1,965	 	sqft	 	- House for sale	Show more	Price cut:	 	$10,100 (Nov 3)	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 29	Save this home",https://www.zillow.com/homedetails/7811-Stockton-Way-Florence-KY-41042/105696032_zpid/,"$349,900"
8,"157 W Dilcrest Cir, Florence, KY 41042	RE/MAX VICTORY + AFFILIATES	$114,900	--	 	bds	--	 	ba	--	 	sqft	 	- House for sale	Show more	144 days on Zillow	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 13	Save this home",https://www.zillow.com/homedetails/157-W-Dilcrest-Cir-Florence-KY-41042/105699458_zpid/,"$114,900"
9,"2381 Longbranch Rd, Union, KY 41091	HUFF REALTY - FLORENCE	$595,000	3	 	bds	4	 	ba	2,028	 	sqft	 	- House for sale	Show more	286 days on Zillow	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 8	Save this home",https://www.zillow.com/homedetails/2381-Longbranch-Rd-Union-KY-41091/252424225_zpid/,"$595,000"
1,"8534 Founders Way, Florence, KY 41042	SIBCY CLINE, REALTORS-FLORENCE	$479,900	4	 	bds	3	 	ba	2,880	 	sqft	 	- House for sale	Show more	Price cut:	 	$5,000 (Sep 21)	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 47	Save this home",https://www.zillow.com/homedetails/8534-Founders-Way-Florence-KY-41042/105694689_zpid/,"$479,900"
2,"9088 Timberbrook Ln UNIT B, Florence, KY 41042	COLDWELL BANKER REALTY FM	$318,900	2	 	bds	2	 	ba	1,661	 	sqft	 	- Condo for sale	Show more	26 days on Zillow	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 31	Save this home",https://www.zillow.com/homedetails/9088-Timberbrook-Ln-UNIT-B-Florence-KY-41042/122649628_zpid/,"$318,900"
3,"8627 Ellingsworth Way, Florence, KY 41042	COLDWELL BANKER REALTY FM	$229,900	2	 	bds	2	 	ba	1,750	 	sqft	 	- Condo for sale	Show more	26 days on Zillow	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 9	Save this home",https://www.zillow.com/homedetails/8627-Ellingsworth-Way-Florence-KY-41042/122652098_zpid/,"$229,900"
4,"7772 Pleasant Valley Rd, Florence, KY 41042	BERKSHIRE HATHAWAY HOME SERVICES PROFESSIONAL REALTY	$464,900	3	 	bds	3	 	ba	2,250	 	sqft	 	- House for sale	Show more	Three Dimensional	 3D Tour	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 50	Save this home",https://www.zillow.com/homedetails/7772-Pleasant-Valley-Rd-Florence-KY-41042/113712671_zpid/,"$464,900"
5,"1519 Greenery Dr, Florence, KY 41042	SIBCY CLINE, REALTORS-FLORENCE	$364,900	3	 	bds	3	 	ba	1,422	 	sqft	 	- House for sale	Show more	Price cut:	 	$4,000 (Nov 7)	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 50	Save this home",https://www.zillow.com/homedetails/1519-Greenery-Dr-Florence-KY-41042/122653955_zpid/,"$364,900"
6,"8430 Village Dr, Florence, KY 41042	SIMPLE FEE REALTY	$270,000	3	 	bds	2	 	ba	1,717	 	sqft	 	- House for sale	Show more	Price cut:	 	$10,000 (Nov 14)	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 31	Save this home",https://www.zillow.com/homedetails/8430-Village-Dr-Florence-KY-41042/105699760_zpid/,"$270,000"
7,"7811 Stockton Way, Florence, KY 41042	SIMPLE FEE REALTY	$349,900	4	 	bds	3	 	ba	1,965	 	sqft	 	- House for sale	Show more	Price cut:	 	$10,100 (Nov 3)	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 29	Save this home",https://www.zillow.com/homedetails/7811-Stockton-Way-Florence-KY-41042/105696032_zpid/,"$349,900"
8,"157 W Dilcrest Cir, Florence, KY 41042	RE/MAX VICTORY + AFFILIATES	$114,900	--	 	bds	--	 	ba	--	 	sqft	 	- House for sale	Show more	144 days on Zillow	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 13	Save this home",https://www.zillow.com/homedetails/157-W-Dilcrest-Cir-Florence-KY-41042/105699458_zpid/,"$114,900"
9,"2381 Longbranch Rd, Union, KY 41091	HUFF REALTY - FLORENCE	$595,000	3	 	bds	4	 	ba	2,028	 	sqft	 	- House for sale	Show more	286 days on Zillow	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 8	Save this home",https://www.zillow.com/homedetails/2381-Longbranch-Rd-Union-KY-41091/252424225_zpid/,"$595,000"
1,"8471 Village Dr, Florence, KY 41042	PIVOT REALTY GROUP	$285,000	5	 	bds	4	 	ba	3,280	 	sqft	 	- House for sale	Show more	Price cut:	 	$14,900 (Oct 26)	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 33	Save this home",https://www.zillow.com/homedetails/8471-Village-Dr-Florence-KY-41042/105699811_zpid/,"$285,000"
2,"6642 Highridge Ave, Florence, KY 41042	PIVOT REALTY GROUP	$215,000	3	 	bds	3	 	ba	2,008	 	sqft	 	- House for sale	Show more	Price cut:	 	$15,000 (Nov 27)	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 25	Save this home",https://www.zillow.com/homedetails/6642-Highridge-Ave-Florence-KY-41042/122652300_zpid/,"$215,000"
3,"7920 Driftwood Dr, Florence, KY 41042	BANG REALTY, INC	$599,900	4	 	bds	4	 	ba	2,796	 	sqft	 	- House for sale	Show more	18 days on Zillow	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 49	Save this home",https://www.zillow.com/homedetails/7920-Driftwood-Dr-Florence-KY-41042/105695963_zpid/,"$599,900"
4,"7131 Manderlay Dr, Florence, KY 41042	PLUM TREE REALTY	$245,000	3	 	bds	2	 	ba	--	 	sqft	 	- House for sale	Show more	11 days on Zillow	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 34	Save this home",https://www.zillow.com/homedetails/7131-Manderlay-Dr-Florence-KY-41042/105706857_zpid/,"$245,000"
5,"975 Golden Grove Ln, Florence, KY 41042	HAND IN HAND REALTY	$315,000	3	 	bds	4	 	ba	2,394	 	sqft	 	- House for sale	Show more	Price cut:	 	$10,000 (Nov 3)	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 40	Save this home",https://www.zillow.com/homedetails/975-Golden-Grove-Ln-Florence-KY-41042/122650467_zpid/,"$315,000"
6,"1733 Greatwood Dr, Florence, KY 41042	HUFF REALTY - FLORENCE	$344,000	5	 	bds	3	 	ba	2,416	 	sqft	 	- House for sale	Show more	Price cut:	 	$6,000 (Nov 28)	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 43	Save this home",https://www.zillow.com/homedetails/1733-Greatwood-Dr-Florence-KY-41042/122645156_zpid/,"$344,000"
7,"6347 Hampton Ridge Dr, Florence, KY 41042	EXP REALTY, LLC	$289,000	3	 	bds	2	 	ba	1,953	 	sqft	 	- House for sale	Show more	20 days on Zillow	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 25	Save this home",https://www.zillow.com/homedetails/6347-Hampton-Ridge-Dr-Florence-KY-41042/122654015_zpid/,"$289,000"
8,"1112 Donner Dr, Florence, KY 41042	KELLER WILLIAMS REALTY SERVICES	$334,900	3	 	bds	3	 	ba	1,684	 	sqft	 	- House for sale	Show more	Open: Sat. 11am-1pm	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 34	Save this home",https://www.zillow.com/homedetails/1112-Donner-Dr-Florence-KY-41042/105703460_zpid/,"$334,900"
9,"141 Stable Gate Ln UNIT 651, Florence, KY 41042	KELLER WILLIAMS REALTY SERVICES	$174,900	2	 	bds	2	 	ba	1,196	 	sqft	 	- Condo for sale	Show more	Price cut:	 	$5,000 (Nov 27)	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 21	Save this home",https://www.zillow.com/homedetails/141-Stable-Gate-Ln-UNIT-651-Florence-KY-41042/122651053_zpid/,"$174,900"
